Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
XBLAZE Code: Embryo,PSV,2013,Adventure,Arc System Works,0.01,0.0,0.01,0.0,0.03,43.0,7.4
Dead Rising 2,PS4,2016,Action,Capcom,0.01,0.0,0.01,0.0,0.03,82.0,6.6
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,0.01,0.01,0.0,0.0,0.03,68.0,7.4
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,0.0,0.02,0.0,0.0,0.03,59.0,6.6
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0.0,0.0,0.0,0.03,57.0,7.8
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0.0,0.0,0.03,67.0,6.2
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0.0,0.02,0.0,0.0,0.03,62.0,6.4
GRID Autosport,PC,2014,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,78.0,6.2
Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,0.01,0.01,0.0,0.0,0.02,86.0,7.7
Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02,58.0,7.1
Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02,62.0,6.5
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0.0,0.02,0.0,0.0,0.02,52.0,7.9
Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software,0.0,0.01,0.01,0.0,0.02,64.0,7.3
Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0.0,0.0,0.02,0.0,0.02,81.0,9.0
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0.0,0.02,0.0,0.0,0.02,31.0,4.5
Plants vs. Zombies: Garden Warfare,PC,2014,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02,78.0,7.8
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.02,55.0,4.7
Sniper Elite V2,WiiU,2013,Shooter,505 Games,0.0,0.02,0.0,0.0,0.02,58.0,5.8
Sacred 3,PC,2014,Role-Playing,Deep Silver,0.0,0.02,0.0,0.0,0.02,57.0,1.4
Pro Evolution Soccer 2017,PC,2016,Sports,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.02,69.0,3.7
The Awakened Fate Ultimatum,PS3,2014,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,65.0,7.3
Xblaze: Lost Memories,PS3,2015,Adventure,Arc System Works,0.02,0.0,0.0,0.0,0.02,63.0,6.2
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0.0,0.0,0.02,52.0,7.1
RollerCoaster Tycoon World,PC,2016,Simulation,Atari,0.0,0.02,0.0,0.0,0.02,43.0,2.4
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0.0,0.0,0.0,0.02,79.0,8.5
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0.0,0.02,0.0,0.0,0.02,66.0,8.5
Lara Croft and the Temple of Osiris,PC,2014,Action,Square Enix,0.0,0.02,0.0,0.0,0.02,73.0,5.4
Fist of the North Star: Ken's Rage 2,WiiU,2013,Fighting,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,40.0,5.8
Dynasty Warriors 8: Empires,PSV,2015,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,70.0,7.4
Tenkai Knights: Brave Battle,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02,26.0,2.4
Battle Princess of Arcadias,PS3,2013,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,69.0,7.9
