Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26,54.0,6.2
Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80.0,8.5
The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,0.12,0.01,0.1,0.02,0.25,67.0,7.1
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,59.0,7.1
Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72.0,5.9
Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,0.09,0.03,0.1,0.03,0.25,78.0,8.6
Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,76.0,3.3
The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25,69.0,6.7
Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25,88.0,7.3
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25,63.0,6.3
F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25,64.0,5.3
Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,0.13,0.06,0.0,0.06,0.25,75.0,8.2
Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,79.0,8.7
Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.24,80.0,7.1
Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.24,57.0,6.5
Skylanders SWAP Force,3DS,2013,Platform,Activision,0.1,0.12,0.0,0.02,0.24,68.0,6.4
Skylanders: SuperChargers,XOne,2015,Action,Activision,0.17,0.05,0.0,0.02,0.24,76.0,5.5
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24,76.0,8.1
Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0.0,0.02,0.24,80.0,7.3
NHL 17,XOne,2016,Sports,Electronic Arts,0.2,0.01,0.0,0.03,0.24,77.0,4.0
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.13,0.01,0.24,77.0,7.9
Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,73.0,6.2
Rocket League,XOne,2016,Sports,505 Games,0.05,0.17,0.0,0.02,0.24,87.0,8.3
NBA Live 14,PS4,2013,Sports,Electronic Arts,0.15,0.05,0.0,0.04,0.24,43.0,2.7
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0.0,0.02,0.24,69.0,6.8
Pro Evolution Soccer 2014,X360,2013,Action,Konami Digital Entertainment,0.07,0.15,0.0,0.02,0.24,80.0,4.3
NBA Live 15,PS4,2014,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.23,59.0,5.6
Dynasty Warriors: Gundam Reborn,PS3,2013,Action,Tecmo Koei,0.0,0.0,0.23,0.0,0.23,64.0,7.5
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software,0.05,0.02,0.14,0.02,0.23,77.0,7.5
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.12,0.0,0.02,0.23,88.0,7.1
Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23,79.0,6.9
Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.09,0.0,0.04,0.23,77.0,7.5
Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.17,0.01,0.23,82.0,8.6
Killer is Dead,PS3,2013,Action,Deep Silver,0.12,0.03,0.05,0.03,0.23,64.0,7.9
F1 2014,X360,2014,Racing,Codemasters,0.08,0.13,0.0,0.02,0.23,64.0,4.1
Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,0.0,0.08,0.12,0.02,0.22,82.0,8.4
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22,66.0,7.0
The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,7.3
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0.0,0.02,0.22,88.0,6.8
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,71.0,6.7
Senran Kagura 2: Deep Crimson ,3DS,2014,Action,Marvelous Entertainment,0.1,0.02,0.08,0.01,0.22,58.0,6.8
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.14,0.06,0.0,0.02,0.22,62.0,7.3
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0.0,0.04,0.21,47.0,2.0
Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.21,69.0,7.7
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,0.1,0.1,0.0,0.02,0.21,68.0,6.7
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.02,0.0,0.19,0.0,0.21,68.0,7.6
Disgaea D2: A Brighter Darkness,PS3,2013,Role-Playing,Nippon Ichi Software,0.09,0.0,0.1,0.02,0.21,74.0,8.1
Assassin's Creed Syndicate,PC,2015,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21,74.0,5.9
World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,0.04,0.06,0.08,0.03,0.21,77.0,8.6
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,0.21,72.0,8.4
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0.0,0.04,0.21,83.0,8.4
NBA Live 15,XOne,2014,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.21,53.0,6.8
Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.09,0.0,0.04,0.21,71.0,7.6
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0.0,0.03,0.17,0.01,0.21,74.0,7.9
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.14,0.0,0.05,0.02,0.21,77.0,7.1
Defiance,PC,2013,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,64.0,6.5
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0.0,0.03,0.21,32.0,1.5
Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.05,0.06,0.02,0.21,61.0,5.5
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2,72.0,7.4
God of War Collection,PSV,2014,Action,Sony Computer Entertainment,0.08,0.06,0.01,0.05,0.2,73.0,7.4
Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive,0.06,0.12,0.0,0.02,0.2,52.0,5.7
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.14,0.04,0.0,0.02,0.2,51.0,5.3
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.05,0.12,0.0,0.03,0.2,62.0,6.8
The Witch and the Hundred Knight,PS3,2013,Role-Playing,Nippon Ichi Software,0.07,0.02,0.1,0.02,0.2,53.0,7.5
FIFA 16,PC,2015,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,4.4
NBA Live 14,XOne,2013,Sports,Electronic Arts,0.16,0.02,0.0,0.02,0.2,36.0,3.1
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0.0,0.02,0.2,73.0,7.3
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87.0,8.2
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.02,0.12,0.01,0.2,86.0,7.7
Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,75.0,7.9
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,0.2,63.0,7.8
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03,0.19,53.0,5.9
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,60.0,7.1
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,63.0,3.2
Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,23.0,3.0
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0.0,0.02,0.19,84.0,6.1
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63.0,7.5
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,85.0,8.6
Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0.0,0.02,0.19,82.0,7.9
Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,82.0,8.6
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,4.3
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,80.0,7.5
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,80.0,7.3
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19,47.0,4.1
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,82.0,7.4
Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,86.0,7.4
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19,74.0,7.0
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69.0,7.7
Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65.0,7.4
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18,58.0,8.3
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,7.7
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,7.8
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,7.4
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,6.4
Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.18,48.0,6.8
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,7.4
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,6.8
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,3.5
Remember Me,X360,2013,Action,Capcom,0.1,0.06,0.0,0.02,0.18,70.0,7.5
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,8.0
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,6.1
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,7.1
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17,73.0,7.0
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74.0,7.6
Hitman: HD Trilogy,X360,2013,Action,Square Enix,0.07,0.08,0.0,0.02,0.17,69.0,7.2
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.08,0.05,0.0,0.04,0.17,81.0,8.7
Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,0.1,0.0,0.04,0.03,0.17,62.0,7.6
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0.0,0.01,0.17,83.0,7.2
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58.0,6.5
LEGO Marvel Super Heroes,PC,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.01,0.17,78.0,8.1
Demon Gaze,PSV,2013,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.02,0.17,70.0,7.4
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,7.3
NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17,65.0,5.1
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,6.3
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,8.2
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,4.8
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0.0,0.09,0.01,0.16,66.0,8.2
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16,72.0,4.4
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,0.05,0.0,0.1,0.01,0.16,72.0,6.8
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0.08,0.07,0.0,0.01,0.16,51.0,7.0
The Crew,PC,2014,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16,71.0,6.4
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53.0,6.9
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16,84.0,8.3
Putty Squad,PS4,2013,Platform,System 3,0.06,0.07,0.0,0.03,0.16,38.0,2.9
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67.0,7.8
Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0.0,0.01,0.16,82.0,7.4
Dynasty Warriors 8: Xtreme Legends,PS3,2013,Action,Tecmo Koei,0.02,0.02,0.11,0.01,0.16,68.0,6.8
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,77.0,7.5
Wolfenstein: The Old Blood,XOne,2015,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,75.0,8.0
Dynasty Warriors 8,X360,2013,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.15,65.0,7.5
Tears to Tiara II: Heir of the Overlord,PS3,2013,Role-Playing,Nippon Ichi Software,0.07,0.01,0.06,0.02,0.15,65.0,8.7
Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,78.0,8.0
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15,71.0,7.2
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,79.0,8.7
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0.0,0.04,0.1,0.01,0.15,60.0,7.0
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15,73.0,8.1
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.11,0.01,0.15,90.0,7.8
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74.0,8.0
Earth Defense Force 2025,X360,2013,Shooter,D3Publisher,0.06,0.03,0.05,0.01,0.15,68.0,8.1
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15,63.0,6.6
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80.0,7.7
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,8.4
Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,5.3
Farming Simulator 2013,PS3,2013,Simulation,Focus Home Interactive,0.0,0.09,0.02,0.02,0.14,40.0,2.9
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0.0,0.02,0.14,80.0,5.5
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.04,0.08,0.0,0.02,0.14,88.0,8.0
Pro Evolution Soccer 2015,XOne,2014,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,0.14,79.0,7.3
Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,8.9
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.08,0.04,0.02,0.01,0.14,90.0,8.2
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.02,0.09,0.01,0.14,93.0,7.9
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.06,0.07,0.0,0.01,0.14,49.0,4.1
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,5.9
Rayman Legends,PSV,2014,Platform,Ubisoft,0.01,0.1,0.0,0.03,0.14,87.0,8.4
Transformers: Devastation,XOne,2015,Action,Activision,0.09,0.04,0.0,0.01,0.14,75.0,7.9
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63.0,6.4
Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14,71.0,3.8
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0.0,0.02,0.14,81.0,8.6
Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0.0,0.0,0.13,0.0,0.14,84.0,8.1
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,3.0
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0.03,0.0,0.01,0.13,85.0,8.7
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80.0,8.2
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.04,0.0,0.08,0.01,0.13,75.0,8.5
Total War: WARHAMMER,PC,2016,Strategy,Sega,0.0,0.12,0.0,0.01,0.13,86.0,7.3
LEGO Legends of Chima: Laval's Journey,PSV,2013,Adventure,Warner Bros. Interactive Entertainment,0.01,0.09,0.0,0.03,0.13,64.0,6.6
Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,2.5
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0.0,0.06,0.06,0.01,0.13,86.0,7.6
Watch Dogs,WiiU,2014,Action,Ubisoft,0.07,0.05,0.0,0.01,0.13,62.0,6.4
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,67.0,7.5
One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,0.03,0.04,0.04,0.02,0.13,67.0,7.8
Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,Idea Factory,0.04,0.01,0.06,0.02,0.13,68.0,7.1
Project CARS,PC,2015,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,7.1
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12,86.0,8.0
Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,0.09,0.0,0.03,0.01,0.12,62.0,7.7
Killer is Dead,X360,2013,Action,Deep Silver,0.08,0.02,0.01,0.01,0.12,64.0,7.2
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12,76.0,7.4
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75.0,8.1
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0.0,0.02,0.12,65.0,6.9
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12,86.0,7.9
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0.0,0.1,0.0,0.12,83.0,8.0
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,6.0
Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,2.1
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,6.5
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,7.8
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,7.3
Lost Planet 3,X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,58.0,5.8
LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,77.0,7.3
Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,7.0
FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,4.2
Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66.0,7.4
Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,70.0,8.2
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,3.4
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0.0,0.11,72.0,6.8
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,71.0,6.8
Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67.0,7.6
MLB 13: The Show,PSV,2013,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.02,0.11,75.0,7.5
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11,75.0,8.5
Valkyrie Drive: Bhikkhuni,PSV,2015,Action,PQube,0.0,0.03,0.07,0.01,0.11,72.0,8.5
Samurai Warriors 4,PSV,2014,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,76.0,8.6
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,0.11,77.0,8.2
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79.0,7.9
NBA Live 16,XOne,2015,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11,60.0,5.6
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.11,62.0,7.2
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11,69.0,8.0
NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0.0,0.0,0.02,0.11,67.0,4.6
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.04,0.06,0.0,0.01,0.11,85.0,6.2
ArmA III,PC,2013,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11,74.0,7.4
MLB 14: The Show,PSV,2014,Sports,Sony Computer Entertainment America,0.08,0.0,0.0,0.03,0.11,68.0,7.0
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.01,0.11,66.0,7.5
Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.01,0.11,60.0,6.5
Mind Zero,PSV,2013,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1,59.0,6.0
Sacred 3,PS3,2014,Role-Playing,Deep Silver,0.03,0.04,0.03,0.01,0.1,56.0,3.4
Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.03,0.06,0.0,0.01,0.1,81.0,7.3
Pro Evolution Soccer 2014,PC,2013,Action,Konami Digital Entertainment,0.0,0.1,0.0,0.01,0.1,74.0,4.4
Ride,XOne,2015,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1,54.0,5.3
The Sims 4: City Living,PC,2016,Simulation,Electronic Arts,0.02,0.08,0.0,0.01,0.1,77.0,5.7
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,71.0,6.3
Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.1,85.0,7.8
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,68.0,6.2
Resident Evil: Revelations 2,PSV,2015,Action,Capcom,0.0,0.03,0.07,0.01,0.1,65.0,7.8
Resident Evil: Revelations 2,XOne,2015,Action,Capcom,0.07,0.02,0.0,0.01,0.1,75.0,7.5
Steins;Gate,PSV,2013,Adventure,PQube,0.04,0.04,0.0,0.02,0.1,83.0,9.2
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0.0,0.08,0.0,0.01,0.1,71.0,5.9
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0.0,0.02,0.1,73.0,6.3
The Crew: Wild Run,PS4,2015,Action,Ubisoft,0.0,0.08,0.0,0.01,0.1,73.0,6.8
Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,53.0,6.0
F1 2014,PC,2014,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,4.8
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.05,0.04,0.0,0.01,0.1,88.0,8.3
Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.0,0.06,0.01,0.1,66.0,7.3
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,71.0,6.5
Skylanders Imaginators,XOne,2016,Platform,Activision,0.05,0.04,0.0,0.01,0.1,78.0,6.0
